3,912,7,3
3,960,1,9
3,912,9,1
3,944,3,7
4,920,5,0
4,936,0,5
5,926,1,1
5,932,1,1
6,923,1,0
6,928,0,1
7,923,1,0
7,926,0,1
7,923,1,0
7,926,0,1
3,912,8,2
3,944,3,7
7,923,1,0
7,926,0,1
7,923,1,0
7,926,0,1
3,912,9,1
3,944,5,5
7,923,1,0
7,926,0,1
7,923,1,0
7,926,0,1
3,920,5,5
3,944,3,7
7,923,1,0
7,926,1,0
6,924,1,0
6,928,1,0
3,912,7,3
3,944,4,6
4,920,4,1
4,936,2,3
5,926,1,1
5,932,0,2
6,927,1,0
6,931,0,1
7,924,1,0
7,926,0,1
3,912,8,2
3,944,5,5
4,924,4,1
4,936,3,2
3,912,8,2
3,944,4,6
4,928,3,2
4,936,1,4
3,912,7,3
3,944,2,8
4,920,5,0
4,936,1,4
3,912,8,2
3,944,2,8
4,924,0,5
4,936,3,2
3,912,9,1
3,944,6,4
3,920,9,1
3,944,4,6
3,920,5,5
3,944,3,7
